producto,fecha,cantidad
jitomate,2024-06-28,39
cebolla,2024-06-28,29
huevo,2024-06-28,59
tortilla,2024-06-28,99
leche,2024-06-28,49
frijol,2024-06-28,19
arroz,2024-06-28,29
pollo,2024-06-28,34
aguacate,2024-06-28,21
chile,2024-06-28,18
jitomate,2024-06-29,67
cebolla,2024-06-29,57
huevo,2024-06-29,107
tortilla,2024-06-29,149
leche,2024-06-29,72
frijol,2024-06-29,34
arroz,2024-06-29,47
pollo,2024-06-29,68
aguacate,2024-06-29,36
chile,2024-06-29,29
jitomate,2024-06-30,70
cebolla,2024-06-30,38
huevo,2024-06-30,93
tortilla,2024-06-30,157
leche,2024-06-30,92
frijol,2024-06-30,39
arroz,2024-06-30,48
pollo,2024-06-30,59
aguacate,2024-06-30,40
chile,2024-06-30,24
jitomate,2024-07-01,55
cebolla,2024-07-01,30
huevo,2024-07-01,46
tortilla,2024-07-01,104
leche,2024-07-01,55
frijol,2024-07-01,36
arroz,2024-07-01,39
pollo,2024-07-01,36
aguacate,2024-07-01,32
chile,2024-07-01,19
jitomate,2024-07-02,40
cebolla,2024-07-02,29
huevo,2024-07-02,62
tortilla,2024-07-02,103
leche,2024-07-02,56
frijol,2024-07-02,27
arroz,2024-07-02,31
pollo,2024-07-02,38
aguacate,2024-07-02,20
chile,2024-07-02,16
jitomate,2024-07-03,38
cebolla,2024-07-03,33
huevo,2024-07-03,59
tortilla,2024-07-03,124
leche,2024-07-03,45
frijol,2024-07-03,21
arroz,2024-07-03,32
pollo,2024-07-03,43
aguacate,2024-07-03,24
chile,2024-07-03,21
jitomate,2024-07-04,50
cebolla,2024-07-04,30
huevo,2024-07-04,48
tortilla,2024-07-04,84
leche,2024-07-04,58
frijol,2024-07-04,20
arroz,2024-07-04,29
pollo,2024-07-04,37
aguacate,2024-07-04,21
chile,2024-07-04,20
jitomate,2024-07-05,44
cebolla,2024-07-05,41
huevo,2024-07-05,67
tortilla,2024-07-05,83
leche,2024-07-05,47
frijol,2024-07-05,22
arroz,2024-07-05,33
pollo,2024-07-05,33
aguacate,2024-07-05,22
chile,2024-07-05,20
jitomate,2024-07-06,47
cebolla,2024-07-06,38
huevo,2024-07-06,58
tortilla,2024-07-06,100
leche,2024-07-06,61
frijol,2024-07-06,35
arroz,2024-07-06,44
pollo,2024-07-06,46
aguacate,2024-07-06,30
chile,2024-07-06,24
jitomate,2024-07-07,62
cebolla,2024-07-07,45
huevo,2024-07-07,83
tortilla,2024-07-07,101
leche,2024-07-07,75
frijol,2024-07-07,35
arroz,2024-07-07,44
pollo,2024-07-07,46
aguacate,2024-07-07,38
chile,2024-07-07,23
jitomate,2024-07-08,51
cebolla,2024-07-08,31
huevo,2024-07-08,56
tortilla,2024-07-08,76
leche,2024-07-08,50
frijol,2024-07-08,31
arroz,2024-07-08,32
pollo,2024-07-08,39
aguacate,2024-07-08,14
chile,2024-07-08,20
jitomate,2024-07-09,44
cebolla,2024-07-09,28
huevo,2024-07-09,55
tortilla,2024-07-09,92
leche,2024-07-09,64
frijol,2024-07-09,21
arroz,2024-07-09,27
pollo,2024-07-09,43
aguacate,2024-07-09,21
chile,2024-07-09,17
jitomate,2024-07-10,41
cebolla,2024-07-10,25
huevo,2024-07-10,63
tortilla,2024-07-10,75
leche,2024-07-10,58
frijol,2024-07-10,26
arroz,2024-07-10,38
pollo,2024-07-10,37
aguacate,2024-07-10,27
chile,2024-07-10,15
jitomate,2024-07-11,40
cebolla,2024-07-11,32
huevo,2024-07-11,77
tortilla,2024-07-11,69
leche,2024-07-11,59
frijol,2024-07-11,28
arroz,2024-07-11,35
pollo,2024-07-11,40
aguacate,2024-07-11,23
chile,2024-07-11,17
jitomate,2024-07-12,33
